iter	Passed	Remaining
0	158	158028
1	159	79537
2	160	53263
3	161	40131
4	162	32262
5	163	27009
6	164	23265
7	164	20451
8	165	18261
9	166	16499
10	167	15067
11	168	13875
12	169	12865
13	170	11994
14	171	11239
15	173	10685
16	174	10100
17	175	9596
18	177	9146
19	178	8732
20	179	8351
21	180	8003
22	180	7688
23	181	7394
24	182	7124
25	183	6874
26	184	6645
27	185	6431
28	186	6229
29	186	6042
30	187	5869
31	188	5707
32	189	5556
33	190	5423
34	191	5289
35	192	5162
36	193	5043
37	194	4929
38	195	4821
39	196	4717
40	197	4618
41	198	4525
42	199	4436
43	200	4351
44	201	4270
45	202	4190
46	202	4114
47	203	4045
48	204	3977
49	205	3910
50	206	3846
51	207	3783
52	208	3723
53	209	3666
54	210	3610
55	210	3556
56	211	3505
57	212	3455
58	213	3407
59	214	3359
60	215	3314
61	216	3271
62	217	3229
63	218	3189
64	219	3154
65	220	3116
66	221	3080
67	222	3043
68	222	3008
69	223	2974
70	224	2939
71	225	2906
72	226	2873
73	227	2842
74	228	2812
75	228	2782
76	229	2753
77	230	2725
78	231	2698
79	232	2673
80	233	2649
81	234	2625
82	235	2596
83	235	2572
84	236	2548
85	237	2525
86	238	2503
87	239	2482
88	240	2460
89	241	2438
90	242	2417
91	242	2397
92	243	2378
93	244	2359
94	245	2341
95	246	2322
96	247	2303
97	248	2287
98	249	2269
99	250	2252
100	251	2234
101	252	2219
102	252	2202
103	253	2186
104	254	2170
105	255	2154
106	256	2139
107	257	2125
108	258	2111
109	259	2097
110	260	2084
111	261	2070
112	261	2055
113	262	2042
114	264	2031
115	265	2020
116	265	2006
117	266	1993
118	267	1981
119	268	1969
120	269	1958
121	270	1944
122	271	1932
123	271	1921
124	272	1909
125	273	1898
126	274	1885
127	275	1874
128	275	1863
129	276	1852
130	277	1842
131	278	1832
132	279	1822
133	280	1813
134	281	1804
135	282	1795
136	283	1785
137	284	1776
138	285	1767
139	286	1758
140	287	1749
141	287	1739
142	288	1730
143	289	1721
144	290	1712
145	291	1704
146	292	1695
147	293	1688
148	294	1680
149	295	1671
150	295	1664
151	296	1656
152	297	1648
153	298	1640
154	299	1632
155	300	1624
156	301	1617
157	302	1610
158	303	1602
159	303	1595
160	304	1587
161	305	1579
162	306	1572
163	307	1565
164	308	1561
165	309	1555
166	310	1549
167	311	1542
168	312	1536
169	313	1529
170	314	1523
171	315	1517
172	316	1510
173	316	1504
174	317	1498
175	318	1491
176	319	1485
177	320	1479
178	321	1473
179	322	1468
180	323	1463
181	324	1457
182	325	1451
183	325	1445
184	326	1439
185	327	1434
186	328	1428
187	329	1423
188	330	1417
189	331	1412
190	332	1407
191	333	1401
192	333	1396
193	334	1390
194	335	1385
195	336	1379
196	337	1376
197	338	1371
198	339	1366
199	340	1361
200	341	1356
201	342	1351
202	342	1345
203	343	1340
204	344	1336
205	345	1331
206	346	1326
207	347	1321
208	347	1316
209	348	1311
210	349	1307
211	350	1302
212	351	1298
213	352	1294
214	353	1290
215	354	1286
216	355	1281
217	356	1277
218	356	1272
219	357	1268
220	358	1264
221	359	1259
222	360	1255
223	361	1251
224	362	1247
225	362	1242
226	363	1238
227	364	1234
228	365	1230
229	366	1226
230	367	1223
231	368	1219
232	369	1215
233	370	1211
234	371	1207
235	371	1203
236	372	1199
237	373	1195
238	374	1192
239	375	1188
240	376	1184
241	376	1180
242	377	1176
243	378	1173
244	379	1169
245	380	1165
246	381	1162
247	382	1159
248	383	1156
249	384	1152
250	385	1149
251	385	1145
252	386	1142
253	387	1138
254	388	1135
255	389	1131
256	390	1128
257	391	1124
258	391	1121
259	392	1117
260	393	1114
261	394	1111
262	395	1108
263	396	1105
264	397	1102
265	398	1099
266	399	1096
267	400	1093
268	401	1089
269	401	1086
270	402	1083
271	403	1080
272	404	1076
273	405	1073
274	406	1070
275	406	1067
276	407	1064
277	408	1061
278	409	1058
279	410	1055
280	411	1053
281	412	1050
282	413	1048
283	414	1044
284	415	1041
285	416	1038
286	416	1035
287	417	1032
288	418	1029
289	419	1026
290	420	1023
291	421	1021
292	421	1018
293	422	1015
294	423	1012
295	424	1009
296	425	1007
297	426	1005
298	427	1003
299	428	1000
300	429	997
301	430	995
302	431	992
303	432	989
304	433	986
305	434	984
306	434	981
307	435	979
308	436	976
309	437	973
310	438	971
311	439	968
312	440	966
313	441	964
314	442	962
315	443	960
316	444	957
317	445	955
318	446	952
319	447	950
320	447	947
321	448	945
322	449	942
323	450	940
324	451	938
325	452	935
326	453	933
327	454	931
328	455	929
329	456	927
330	457	925
331	458	922
332	459	920
333	460	917
334	461	915
335	462	913
336	462	910
337	463	908
338	464	906
339	465	903
340	466	901
341	467	899
342	468	896
343	469	894
344	469	892
345	471	891
346	472	888
347	473	886
348	473	884
349	474	881
350	475	879
351	476	877
352	477	874
353	478	872
354	479	870
355	480	870
356	481	867
357	482	866
358	483	863
359	484	861
360	486	860
361	487	858
362	488	856
363	488	854
364	489	852
365	490	849
366	491	847
367	492	845
368	493	843
369	494	841
370	494	839
371	495	836
372	496	834
373	497	832
374	498	830
375	499	828
376	499	826
377	501	824
378	501	822
379	502	820
380	503	818
381	504	816
382	505	814
383	506	812
384	507	810
385	508	808
386	509	806
387	510	804
388	510	802
389	511	800
390	512	798
391	513	796
392	514	794
393	515	792
394	516	790
395	517	789
396	518	787
397	519	785
398	520	783
399	521	781
400	521	779
401	522	777
402	523	775
403	524	773
404	525	771
405	525	769
406	526	767
407	527	765
408	528	763
409	529	761
410	530	760
411	531	758
412	532	756
413	533	754
414	533	752
415	534	750
416	535	748
417	536	746
418	537	744
419	538	743
420	539	741
421	539	739
422	540	737
423	541	735
424	542	733
425	543	731
426	544	730
427	545	728
428	546	726
429	547	725
430	547	723
431	548	721
432	549	719
433	550	718
434	551	716
435	552	714
436	553	713
437	554	711
438	555	709
439	556	708
440	557	706
441	558	704
442	558	702
443	560	701
444	560	699
445	561	697
446	562	696
447	563	694
448	564	692
449	565	690
450	566	689
451	567	687
452	567	685
453	568	684
454	569	682
455	570	680
456	571	678
457	572	677
458	572	675
459	574	674
460	575	672
461	576	670
462	577	669
463	577	667
464	578	665
465	579	664
466	580	662
467	581	661
468	582	659
469	583	658
470	584	656
471	593	663
472	594	661
473	594	660
474	595	658
475	596	656
476	597	655
477	598	653
478	599	651
479	599	649
480	600	648
481	601	646
482	602	644
483	603	643
